iter	Passed	Remaining
0	12	12867
1	20	10257
2	27	9049
3	34	8530
4	42	8384
5	49	8166
6	56	8073
7	65	8084
8	73	8101
9	82	8147
10	90	8166
11	98	8081
12	105	8047
13	113	8010
14	121	7963
15	128	7924
16	136	7893
17	145	7958
18	153	7916
19	161	7889
20	168	7849
21	175	7805
22	182	7771
23	190	7739
24	197	7709
25	205	7685
26	212	7667
27	220	7643
28	228	7640
29	235	7624
30	243	7619
31	251	7616
32	259	7613
33	267	7593
34	275	7596
35	283	7584
36	291	7577
37	298	7561
38	306	7559
39	314	7553
40	322	7541
41	330	7529
42	338	7536
43	346	7526
44	354	7513
45	362	7509
46	370	7515
47	378	7507
48	386	7496
49	394	7496
50	403	7510
51	412	7511
52	420	7509
53	427	7493
54	435	7488
55	444	7493
56	452	7481
57	460	7486
58	468	7477
59	477	7475
60	485	7466
61	492	7449
62	499	7435
63	508	7437
64	515	7421
65	524	7420
66	532	7410
67	540	7406
68	548	7397
69	556	7393
70	564	7387
71	572	7380
72	580	7369
73	588	7365
74	595	7350
75	604	7346
76	612	7345
77	621	7344
78	629	7336
79	637	7335
80	645	7329
81	653	7317
82	661	7303
83	669	7296
84	677	7290
85	685	7283
86	693	7274
87	701	7268
88	709	7260
89	717	7256
90	725	7249
91	733	7238
92	741	7231
93	749	7223
94	758	7224
95	766	7214
96	774	7206
97	782	7202
98	790	7192
99	798	7184
100	806	7180
101	814	7170
102	822	7162
103	830	7157
104	838	7145
105	846	7137
106	853	7126
107	861	7115
108	870	7112
109	878	7105
110	886	7098
111	894	7093
112	902	7081
113	909	7070
114	918	7067
115	925	7055
116	934	7049
117	942	7043
118	951	7042
119	958	7031
120	966	7022
121	975	7019
122	983	7011
123	991	7004
124	999	6995
125	1007	6988
126	1015	6982
127	1023	6975
128	1032	6970
129	1040	6965
130	1049	6958
131	1056	6950
132	1064	6937
133	1072	6930
134	1080	6923
135	1088	6916
136	1096	6907
137	1104	6901
138	1113	6899
139	1121	6890
140	1129	6881
141	1138	6877
142	1146	6872
143	1154	6863
144	1162	6853
145	1170	6844
146	1178	6837
147	1186	6831
148	1194	6824
149	1203	6819
150	1211	6810
151	1219	6803
152	1227	6796
153	1235	6788
154	1243	6780
155	1252	6775
156	1259	6765
157	1268	6757
158	1276	6751
159	1284	6743
160	1292	6736
161	1302	6736
162	1310	6729
163	1319	6724
164	1327	6718
165	1336	6712
166	1343	6703
167	1351	6695
168	1360	6687
169	1368	6682
170	1376	6675
171	1385	6670
172	1393	6662
173	1401	6652
174	1410	6649
175	1418	6641
176	1426	6631
177	1434	6623
178	1442	6616
179	1451	6610
180	1459	6602
181	1467	6595
182	1475	6588
183	1483	6580
184	1491	6570
185	1499	6561
186	1507	6552
187	1514	6542
188	1523	6537
189	1531	6526
190	1538	6516
191	1546	6508
192	1554	6500
193	1563	6493
194	1571	6487
195	1580	6482
196	1588	6474
197	1596	6466
198	1604	6459
199	1613	6454
200	1621	6446
201	1629	6437
202	1637	6430
203	1645	6421
204	1653	6412
205	1661	6405
206	1670	6397
207	1677	6388
208	1686	6383
209	1696	6380
210	1705	6375
211	1713	6368
212	1722	6362
213	1730	6355
214	1738	6349
215	1748	6344
216	1757	6341
217	1768	6342
218	1776	6334
219	1785	6331
220	1794	6324
221	1803	6321
222	1811	6313
223	1820	6308
224	1830	6304
225	1838	6295
226	1846	6288
227	1855	6281
228	1864	6276
229	1872	6269
230	1880	6261
231	1890	6259
232	1899	6251
233	1906	6242
234	1915	6236
235	1925	6232
236	1934	6226
237	1942	6218
238	1951	6213
239	1961	6212
240	1972	6211
241	1981	6206
242	1990	6201
243	2000	6197
244	2009	6192
245	2019	6189
246	2028	6185
247	2038	6181
248	2047	6176
249	2056	6169
250	2065	6162
251	2074	6156
252	2083	6151
253	2092	6146
254	2101	6139
255	2110	6133
256	2119	6126
257	2128	6121
258	2137	6114
259	2146	6107
260	2154	6100
261	2163	6094
262	2171	6086
263	2180	6079
264	2188	6070
265	2197	6064
266	2206	6056
267	2214	6048
268	2222	6040
269	2231	6032
270	2240	6025
271	2249	6020
272	2258	6013
273	2267	6006
274	2275	6000
275	2284	5993
276	2293	5985
277	2302	5979
278	2311	5973
279	2319	5964
280	2327	5956
281	2337	5951
282	2346	5944
283	2355	5938
284	2364	5932
285	2373	5924
286	2381	5916
287	2389	5907
288	2398	5899
289	2406	5892
290	2415	5885
291	2423	5876
292	2431	5868
293	2441	5861
294	2449	5853
295	2457	5845
296	2466	5838
297	2474	5828
298	2481	5818
299	2490	5811
300	2498	5803
301	2506	5793
302	2515	5785
303	2523	5777
304	2532	5770
305	2540	5761
306	2549	5754
307	2557	5745
308	2565	5736
309	2573	5727
310	2581	5719
311	2589	5710
312	2597	5701
313	2606	5693
314	2614	5685
315	2622	5677
316	2631	5669
317	2639	5660
318	2647	5651
319	2656	5644
320	2664	5636
321	2673	5629
322	2682	5621
323	2690	5614
324	2698	5605
325	2707	5596
326	2715	5588
327	2723	5579
328	2731	5569
329	2739	5561
330	2747	5553
331	2755	5544
332	2764	5537
333	2772	5529
334	2781	5520
335	2789	5511
336	2797	5503
337	2805	5493
338	2813	5484
339	2821	5477
340	2830	5469
341	2838	5460
342	2846	5452
343	2855	5445
344	2864	5437
345	2871	5428
346	2880	5420
347	2888	5412
348	2896	5403
349	2905	5395
350	2913	5387
351	2921	5378
352	2930	5370
353	2939	5363
354	2947	5355
355	2955	5346
356	2963	5338
357	2971	5328
358	2980	5321
359	2989	5314
360	2997	5305
361	3004	5296
362	3013	5287
363	3021	5278
364	3028	5268
365	3036	5260
366	3044	5251
367	3053	5243
368	3061	5234
369	3069	5226
370	3077	5218
371	3086	5209
372	3094	5202
373	3102	5193
374	3110	5184
375	3118	5176
376	3127	5167
377	3135	5158
378	3143	5150
379	3152	5143
380	3160	5134
381	3168	5126
382	3176	5117
383	3184	5109
384	3193	5101
385	3202	5093
386	3210	5085
387	3218	5076
388	3225	5066
389	3233	5057
390	3242	5050
391	3251	5043
392	3260	5036
393	3269	5028
394	3277	5019
395	3286	5012
396	3295	5005
397	3303	4996
398	3312	4988
399	3319	4979
400	3328	4971
401	3335	4961
402	3343	4952
403	3351	4944
404	3359	4935
405	3367	4926
406	3376	4919
407	3384	4910
408	3392	4901
409	3400	4893
410	3409	4886
411	3417	4877
412	3425	4869
413	3434	4861
414	3443	4853
415	3452	4846
416	3460	4838
417	3468	4829
418	3477	4821
419	3485	4813
420	3493	4804
421	3501	4796
422	3509	4787
423	3518	4779
424	3526	4771
425	3534	4763
426	3543	4755
427	3551	4746
428	3559	4737
429	3568	4729
430	3576	4721
431	3584	4712
432	3592	4704
433	3600	4696
434	3609	4688
435	3617	4679
436	3625	4671
437	3633	4662
438	3641	4653
439	3650	4645
440	3658	4637
441	3665	4628
442	3674	4620
443	3683	4613
444	3692	4605
445	3701	4597
446	3709	4589
447	3717	4580
448	3725	4571
449	3734	4564
450	3742	4556
451	3750	4547
452	3759	4539
453	3768	4531
454	3777	4524
455	3785	4515
456	3793	4507
457	3800	4497
458	3809	4489
459	3818	4482
460	3825	4473
461	3833	4464
462	3842	4456
463	3850	4448
464	3859	4440
465	3867	4431
466	3876	4423
467	3883	4414
468	3891	4406
469	3900	4398
470	3908	4389
471	3915	4380
472	3924	4372
473	3932	4363
474	3941	4356
475	3950	4348
476	3958	4340
477	3967	4332
478	3974	4323
479	3983	4315
480	3991	4306
481	3999	4298
482	4008	4290
483	4016	4282
484	4024	4273
485	4033	4265
486	4042	4258
487	4050	4249
488	4058	4241
489	4067	4233
490	4074	4224
491	4082	4215
492	4090	4207
493	4099	4198
494	4108	4191
495	4115	4182
496	4124	4174
497	4132	4165
498	4140	4157
499	4149	4149
500	4158	4141
501	4165	4132
502	4174	4124
503	4183	4116
504	4190	4107
505	4199	4099
506	4208	4091
507	4216	4083
508	4223	4074
509	4232	4066
510	4240	4058
511	4249	4049
512	4257	4041
513	4266	4034
514	4274	4025
515	4283	4017
516	4291	4009
517	4300	4001
518	4308	3993
519	4316	3984
520	4325	3976
521	4332	3967
522	4341	3959
523	4349	3951
524	4358	3943
525	4367	3935
526	4376	3927
527	4385	3920
528	4392	3911
529	4401	3902
530	4409	3894
531	4417	3886
532	4425	3877
533	4434	3869
534	4442	3861
535	4450	3852
536	4458	3843
537	4466	3835
538	4476	3828
539	4485	3820
540	4493	3812
541	4502	3804
542	4509	3795
543	4518	3787
544	4526	3779
545	4534	3770
546	4542	3762
547	4551	3754
548	4559	3745
549	4567	3737
550	4576	3729
551	4584	3720
552	4592	3712
553	4601	3704
554	4609	3695
555	4618	3687
556	4626	3679
557	4634	3670
558	4642	3662
559	4650	3654
560	4658	3645
561	4667	3637
562	4674	3628
563	4683	3620
564	4691	3612
565	4699	3603
566	4708	3595
567	4716	3587
568	4725	3579
569	4733	3571
570	4741	3562
571	4749	3553
572	4757	3545
573	4766	3537
574	4775	3529
575	4783	3521
576	4792	3513
577	4800	3504
578	4809	3496
579	4817	3488
580	4826	3480
581	4835	3472
582	4843	3464
583	4852	3456
584	4860	3448
585	4868	3439
586	4876	3430
587	4884	3422
588	4893	3414
589	4901	3406
590	4909	3397
591	4918	3389
592	4926	3381
593	4935	3373
594	4943	3364
595	4952	3356
596	4959	3347
597	4967	3339
598	4975	3330
599	4984	3322
600	4992	3314
601	5001	3306
602	5009	3297
603	5018	3290
604	5027	3282
605	5036	3274
606	5046	3267
607	5055	3259
608	5065	3251
609	5073	3243
610	5083	3236
